model,encoding,gamma,encoding_strength,coupling_strength,NRMSE
DV-QRC,Clustered,5,0.001,0.10000000000000001,0.14426279150916779
DV-QRC,Clustered,5,0.001,0.21544346900318823,0.14442354700110535
DV-QRC,Clustered,5,0.001,0.46415888336127725,0.1421778681372336
DV-QRC,Clustered,5,0.001,1,0.15024384504848098
DV-QRC,Clustered,5,0.001,2.154434690031882,0.15623315174037644
DV-QRC,Clustered,5,0.001,4.6415888336127722,0.17627907112273641
DV-QRC,Clustered,5,0.001,10,0.18368678764492202
DV-QRC,Clustered,5,0.0021544346900318821,1.0000000000000001e-05,0.13279950197729151
DV-QRC,Clustered,5,0.0021544346900318821,2.1544346900318823e-05,0.13272170561559599
DV-QRC,Clustered,5,0.0021544346900318821,4.6415888336127818e-05,0.13369168408974533
DV-QRC,Clustered,5,0.0021544346900318821,0.0001,0.13475216083708816
DV-QRC,Clustered,5,0.0021544346900318821,0.00021544346900318823,0.13542884122646434
DV-QRC,Clustered,5,0.0021544346900318821,0.00046415888336127773,0.13738309847839592
DV-QRC,Clustered,5,0.0021544346900318821,0.001,0.14054426066186104
DV-QRC,Clustered,5,0.0021544346900318821,0.0021544346900318821,0.14255087012331932
DV-QRC,Clustered,5,0.0021544346900318821,0.0046415888336127772,0.14172836776514022
DV-QRC,Clustered,5,0.0021544346900318821,0.01,0.13877273247556907
DV-QRC,Clustered,5,0.0021544346900318821,0.021544346900318822,0.13646009711100746
DV-QRC,Clustered,5,0.0021544346900318821,0.046415888336127774,0.13092778311135228
DV-QRC,Clustered,5,0.0021544346900318821,0.10000000000000001,0.12617785511694024
DV-QRC,Clustered,5,0.0021544346900318821,0.21544346900318823,0.12313793532993478
DV-QRC,Clustered,5,0.0021544346900318821,0.46415888336127725,0.12269546026271905
DV-QRC,Clustered,5,0.0021544346900318821,1,0.13133129884876502
DV-QRC,Clustered,5,0.0021544346900318821,2.154434690031882,0.13762737974861733
DV-QRC,Clustered,5,0.0021544346900318821,4.6415888336127722,0.15553722002595641
DV-QRC,Clustered,5,0.0021544346900318821,10,0.17525792226855563
DV-QRC,Clustered,5,0.0046415888336127772,1.0000000000000001e-05,0.10901538930766901
DV-QRC,Clustered,5,0.0046415888336127772,2.1544346900318823e-05,0.10909700363037951
DV-QRC,Clustered,5,0.0046415888336127772,4.6415888336127818e-05,0.10967483877018933
DV-QRC,Clustered,5,0.0046415888336127772,0.0001,0.11118788829549064
DV-QRC,Clustered,5,0.0046415888336127772,0.00021544346900318823,0.11213187742001565
DV-QRC,Clustered,5,0.0046415888336127772,0.00046415888336127773,0.11562940197617348
DV-QRC,Clustered,5,0.0046415888336127772,0.001,0.1204263601399872
DV-QRC,Clustered,5,0.0046415888336127772,0.0021544346900318821,0.12566506079154732
DV-QRC,Clustered,5,0.0046415888336127772,0.0046415888336127772,0.12916328601117255
DV-QRC,Clustered,5,0.0046415888336127772,0.01,0.12761902825362306
DV-QRC,Clustered,5,0.0046415888336127772,0.021544346900318822,0.12093827422186269
DV-QRC,Clustered,5,0.0046415888336127772,0.046415888336127774,0.11313762759059912
DV-QRC,Clustered,5,0.0046415888336127772,0.10000000000000001,0.10992733871991973
DV-QRC,Clustered,5,0.0046415888336127772,0.21544346900318823,0.11045393704730437
DV-QRC,Clustered,5,0.0046415888336127772,0.46415888336127725,0.1107392497907141
DV-QRC,Clustered,5,0.0046415888336127772,1,0.11559951505159098
DV-QRC,Clustered,5,0.0046415888336127772,2.154434690031882,0.12047645993900628
DV-QRC,Clustered,5,0.0046415888336127772,4.6415888336127722,0.13497141797903545
DV-QRC,Clustered,5,0.0046415888336127772,10,0.1481534024222679
DV-QRC,Clustered,5,0.01,1.0000000000000001e-05,0.091017854405255727
DV-QRC,Clustered,5,0.01,2.1544346900318823e-05,0.091352314064356094
DV-QRC,Clustered,5,0.01,4.6415888336127818e-05,0.09137586157629321
DV-QRC,Clustered,5,0.01,0.0001,0.091184465956670943
DV-QRC,Clustered,5,0.01,0.00021544346900318823,0.091198183517850306
DV-QRC,Clustered,5,0.01,0.00046415888336127773,0.091560750336094995
