model,encoding,gamma,encoding_strength,coupling_strength,C_mix
DV-QRC,Local,7,0.001,0.001,0
DV-QRC,Local,7,0.001,0.0021544346900318821,0.0078325354219828773
DV-QRC,Local,7,0.001,0.0046415888336127772,0.42789521737455194
DV-QRC,Local,7,0.001,0.01,0.87973359320624522
DV-QRC,Local,7,0.001,0.021544346900318822,1.0785251201243524
DV-QRC,Local,7,0.001,0.046415888336127774,1.155745959621147
DV-QRC,Local,7,0.001,0.10000000000000001,1.1566447345028488
DV-QRC,Local,7,0.001,0.21544346900318823,1.1765632767779666
DV-QRC,Local,7,0.001,0.46415888336127725,1.3289560133138176
DV-QRC,Local,7,0.001,1,1.7457426936755169
DV-QRC,Local,7,0.001,2.154434690031882,2.0794962858559236
DV-QRC,Local,7,0.001,4.6415888336127722,1.5510155285239453
DV-QRC,Local,7,0.001,10,1.3769621753588677
DV-QRC,Local,7,0.0021544346900318821,1.0000000000000001e-05,0
DV-QRC,Local,7,0.0021544346900318821,2.1544346900318823e-05,0
DV-QRC,Local,7,0.0021544346900318821,4.6415888336127818e-05,0
DV-QRC,Local,7,0.0021544346900318821,0.0001,0
DV-QRC,Local,7,0.0021544346900318821,0.00021544346900318823,0
DV-QRC,Local,7,0.0021544346900318821,0.00046415888336127773,0
DV-QRC,Local,7,0.0021544346900318821,0.001,0
DV-QRC,Local,7,0.0021544346900318821,0.0021544346900318821,0.51866497364548936
DV-QRC,Local,7,0.0021544346900318821,0.0046415888336127772,0.99432034904025413
DV-QRC,Local,7,0.0021544346900318821,0.01,1.2968555421868699
DV-QRC,Local,7,0.0021544346900318821,0.021544346900318822,1.3734870443424192
DV-QRC,Local,7,0.0021544346900318821,0.046415888336127774,1.3950724917915782
DV-QRC,Local,7,0.0021544346900318821,0.10000000000000001,1.4100893476787206
DV-QRC,Local,7,0.0021544346900318821,0.21544346900318823,1.4568041663768543
DV-QRC,Local,7,0.0021544346900318821,0.46415888336127725,1.7045863226137739
DV-QRC,Local,7,0.0021544346900318821,1,2.1829172500548126
DV-QRC,Local,7,0.0021544346900318821,2.154434690031882,2.4825034330919671
DV-QRC,Local,7,0.0021544346900318821,4.6415888336127722,2.2266176973426233
DV-QRC,Local,7,0.0021544346900318821,10,1.7005255419475407
DV-QRC,Local,7,0.0046415888336127772,1.0000000000000001e-05,0
DV-QRC,Local,7,0.0046415888336127772,2.1544346900318823e-05,0
DV-QRC,Local,7,0.0046415888336127772,4.6415888336127818e-05,0
DV-QRC,Local,7,0.0046415888336127772,0.0001,0
DV-QRC,Local,7,0.0046415888336127772,0.00021544346900318823,0
DV-QRC,Local,7,0.0046415888336127772,0.00046415888336127773,0
DV-QRC,Local,7,0.0046415888336127772,0.001,0.57972000542059965
DV-QRC,Local,7,0.0046415888336127772,0.0021544346900318821,1.0980619802963698
DV-QRC,Local,7,0.0046415888336127772,0.0046415888336127772,1.5734089909975624
DV-QRC,Local,7,0.0046415888336127772,0.01,1.7176126813253167
DV-QRC,Local,7,0.0046415888336127772,0.021544346900318822,1.7210276000001394
DV-QRC,Local,7,0.0046415888336127772,0.046415888336127774,1.7173959359589828
DV-QRC,Local,7,0.0046415888336127772,0.10000000000000001,1.7319022111151867
DV-QRC,Local,7,0.0046415888336127772,0.21544346900318823,1.8063146421557104
DV-QRC,Local,7,0.0046415888336127772,0.46415888336127725,2.1334047512586078
DV-QRC,Local,7,0.0046415888336127772,1,2.5827017769013465
DV-QRC,Local,7,0.0046415888336127772,2.154434690031882,2.8447480585085589
DV-QRC,Local,7,0.0046415888336127772,4.6415888336127722,2.7941740897265088
DV-QRC,Local,7,0.0046415888336127772,10,2.0254332268206117
DV-QRC,Local,7,0.01,1.0000000000000001e-05,0
DV-QRC,Local,7,0.01,2.1544346900318823e-05,0
DV-QRC,Local,7,0.01,4.6415888336127818e-05,0
DV-QRC,Local,7,0.01,0.0001,0
DV-QRC,Local,7,0.01,0.00021544346900318823,0
DV-QRC,Local,7,0.01,0.00046415888336127773,0.5897040140021923
DV-QRC,Local,7,0.01,0.001,1.198309295224677
DV-QRC,Local,7,0.01,0.0021544346900318821,1.9252101538120729
DV-QRC,Local,7,0.01,0.0046415888336127772,2.1933844430446907
DV-QRC,Local,7,0.01,0.01,2.1936636824653877
DV-QRC,Local,7,0.01,0.021544346900318822,2.1855069636648246
DV-QRC,Local,7,0.01,0.046415888336127774,2.1845507546858962
DV-QRC,Local,7,0.01,0.10000000000000001,2.1916152613832369
DV-QRC,Local,7,0.01,0.21544346900318823,2.3119115363994607
DV-QRC,Local,7,0.01,0.46415888336127725,2.7525580542033481
DV-QRC,Local,7,0.01,1,3.1221374855833286
DV-QRC,Local,7,0.01,2.154434690031882,3.2392455094151078
DV-QRC,Local,7,0.01,4.6415888336127722,3.1839231500904011
DV-QRC,Local,7,0.01,10,2.4075799060724603
DV-QRC,Local,7,0.021544346900318822,1.0000000000000001e-05,0
